transaction_id,spend_description,vendor,source_type,predicted_L1,predicted_L2,predicted_L3,predicted_L4,predicted_full_path,confidence,final_score,margin,decision_mode,actual_L1,actual_L2,actual_L3,actual_L4,actual_full_path,validation_status,reviewer_comment,final_ground_truth_L1,final_ground_truth_L2,final_ground_truth_L3,final_ground_truth_L4,final_full_path
11,"Samsung Galaxy Tab Active 4 – 200 units, clinical use",Samsung Electronics,Service contract / PO,IT & Technology,End User Compute,Mobile Devices,Tablets,IT & Technology > End User Compute > Mobile Devices > Tablets,MEDIUM,0.2922,0.06,HYBRID_RERANKING,IT & Technology,End User Compute,Mobile Devices,Tablets,IT & Technology > End User Compute > Mobile Devices > Tablets,APPROVED,Domain validation: confirmed Tablets correctly matches spend description.,IT & Technology,End User Compute,Mobile Devices,Tablets,IT & Technology > End User Compute > Mobile Devices > Tablets
12,"TCS outsourced helpdesk – 50-agent managed service, monthly",Tata Consultancy Services,Service contract / PO,IT & Technology,IT Services,Managed Services,Service Desk & Helpdesk,IT & Technology > IT Services > Managed Services > Service Desk & Helpdesk,MEDIUM,0.4916,0.0442,HYBRID_RERANKING,IT & Technology,IT Services,Managed Services,Service Desk & Helpdesk,IT & Technology > IT Services > Managed Services > Service Desk & Helpdesk,APPROVED,Domain validation: confirmed Service Desk & Helpdesk correctly matches spend description.,IT & Technology,IT Services,Managed Services,Service Desk & Helpdesk,IT & Technology > IT Services > Managed Services > Service Desk & Helpdesk
13,"Akamai CDN – monthly variable usage, content streaming",Akamai Technologies,Service contract / PO,IT & Technology,Telecom & Connectivity,Internet,Content Delivery Networks,IT & Technology > Telecom & Connectivity > Internet > Content Delivery Networks,HIGH,0.3739,0.134,HYBRID_RERANKING,IT & Technology,Telecom & Connectivity,Internet,Content Delivery Networks,IT & Technology > Telecom & Connectivity > Internet > Content Delivery Networks,APPROVED,Domain validation: confirmed Content Delivery Networks correctly matches spend description.,IT & Technology,Telecom & Connectivity,Internet,Content Delivery Networks,IT & Technology > Telecom & Connectivity > Internet > Content Delivery Networks
14,"Power BI Premium – capacity licence, monthly SaaS billing",Microsoft,Service contract / PO,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,LOW,0.3366,0.0052,HUMAN_REVIEW,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,APPROVED,"Power BI Premium capacity is enterprise analytics SaaS, correctly placed in General SaaS Subscriptions.",IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions
15,Fortinet FortiGate – firewall appliance + 3yr support renewal,Fortinet,Service contract / PO,IT & Technology,Network & Infrastructure,Hardware,Firewall & Security Appliances,IT & Technology > Network & Infrastructure > Hardware > Firewall & Security Appliances,MEDIUM,0.3214,0.136,HYBRID_RERANKING,IT & Technology,Network & Infrastructure,Hardware,Firewall & Security Appliances,IT & Technology > Network & Infrastructure > Hardware > Firewall & Security Appliances,APPROVED,Domain validation: confirmed Firewall & Security Appliances correctly matches spend description.,IT & Technology,Network & Infrastructure,Hardware,Firewall & Security Appliances,IT & Technology > Network & Infrastructure > Hardware > Firewall & Security Appliances
16,"Bloomberg Terminal – 12 licences, annual renewal (data + analytics)",Bloomberg LP,Works order / Agreement,Professional Services,Research & Analytics,Data & Analytics Advisory,Data Strategy Advisory,Professional Services > Research & Analytics > Data & Analytics Advisory > Data Strategy Advisory,MEDIUM,0.3351,0.0267,HYBRID_RERANKING,Professional Services,Research & Analytics,Data & Analytics Advisory,Data Strategy Advisory,Professional Services > Research & Analytics > Data & Analytics Advisory > Data Strategy Advisory,APPROVED,Bloomberg Terminal financial data & market intelligence subscription.,Professional Services,Research & Analytics,Data & Analytics Advisory,Data Strategy Advisory,Professional Services > Research & Analytics > Data & Analytics Advisory > Data Strategy Advisory
18,"TomTom Webfleet – 300-vehicle telematics, annual SaaS + hardware",TomTom Webfleet,Works order / Agreement,Logistics & Supply Chain,Fleet Management,Fleet Technology,Telematics & Route Planning,Logistics & Supply Chain > Fleet Management > Fleet Technology > Telematics & Route Planning,LOW,0.3049,0.0229,HUMAN_REVIEW,Logistics & Supply Chain,Fleet Management,Fleet Technology,Telematics & Route Planning,Logistics & Supply Chain > Fleet Management > Fleet Technology > Telematics & Route Planning,APPROVED,Domain validation: confirmed Telematics & Route Planning correctly matches spend description.,Logistics & Supply Chain,Fleet Management,Fleet Technology,Telematics & Route Planning,Logistics & Supply Chain > Fleet Management > Fleet Technology > Telematics & Route Planning
19,"Schrödinger SaaS – computational chemistry, annual licence",Schrödinger Inc.,Works order / Agreement,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,LOW,0.2967,0.0035,HUMAN_REVIEW,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,APPROVED,Schrodinger computational chemistry software is specialized SaaS.,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions
20,ServiceNow ITSM Pro – 800-user enterprise licence,ServiceNow,Works order / Agreement,IT & Technology,Software,Business Applications,Procurement & ITSM Software,IT & Technology > Software > Business Applications > Procurement & ITSM Software,HIGH,0.4138,0.1551,DETERMINISTIC_RULE,IT & Technology,Software,Business Applications,Procurement & ITSM Software,IT & Technology > Software > Business Applications > Procurement & ITSM Software,APPROVED,Domain validation: confirmed Procurement & ITSM Software correctly matches spend description.,IT & Technology,Software,Business Applications,Procurement & ITSM Software,IT & Technology > Software > Business Applications > Procurement & ITSM Software
21,"Siemens Xcelerator – digital twin, annual SaaS + PS days",Siemens Xcelerator,Programme agreement,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,LOW,0.2831,0.004,HUMAN_REVIEW,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,APPROVED,Siemens Xcelerator digital twin is industrial engineering SaaS.,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions
22,System C EPR – implementation + annual SaaS (electronic patient records),System C Healthcare,Programme agreement,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,MEDIUM,0.3479,0.028,HYBRID_RERANKING,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,APPROVED,System C EPR is electronic patient record software as a service.,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions
23,o9 Solutions – demand sensing + S&OP SaaS + advisory days,o9 Solutions,Programme agreement,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,HIGH,0.3953,0.0522,HYBRID_RERANKING,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,APPROVED,o9 Solutions demand sensing S&OP is supply chain planning SaaS.,IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions
24,Gartner advisory – cloud migration readiness assessment,Gartner,Service contract / PO,IT & Technology,Cloud & SaaS,IaaS,Cloud Storage,IT & Technology > Cloud & SaaS > IaaS > Cloud Storage,LOW,0.3314,0.0032,HUMAN_REVIEW,IT & Technology,IT Services,Consulting & Advisory,Digital Transformation Advisory,IT & Technology > IT Services > Consulting & Advisory > Digital Transformation Advisory,CORRECTED,"Gartner advisory for cloud migration readiness is IT consulting/advisory, not cloud storage.",IT & Technology,IT Services,Consulting & Advisory,Digital Transformation Advisory,IT & Technology > IT Services > Consulting & Advisory > Digital Transformation Advisory
25,"Equinix LD8 – co-location, 20 cabinets, annual",Equinix,Service contract / PO,"Print, Office & Corporate",Office Supplies,Office Equipment,Office Furniture,"Print, Office & Corporate > Office Supplies > Office Equipment > Office Furniture",LOW,0.2454,0.0003,HUMAN_REVIEW,IT & Technology,Network & Infrastructure,Data Centre,Co-location Services,IT & Technology > Network & Infrastructure > Data Centre > Co-location Services,CORRECTED,"Equinix LD8 co-location cabinets is Data Centre Co-location Services, not office furniture.",IT & Technology,Network & Infrastructure,Data Centre,Co-location Services,IT & Technology > Network & Infrastructure > Data Centre > Co-location Services
26,"ISS Facility Services – commercial cleaning, 120 stores, weekly",ISS Facility Services,Vendor invoice / PO,Facilities & Property,Soft FM,Cleaning,Commercial Cleaning,Facilities & Property > Soft FM > Cleaning > Commercial Cleaning,HIGH,0.4923,0.1094,HYBRID_RERANKING,Facilities & Property,Soft FM,Cleaning,Commercial Cleaning,Facilities & Property > Soft FM > Cleaning > Commercial Cleaning,APPROVED,Domain validation: confirmed Commercial Cleaning correctly matches spend description.,Facilities & Property,Soft FM,Cleaning,Commercial Cleaning,Facilities & Property > Soft FM > Cleaning > Commercial Cleaning
27,"Atlas Copco – air compressor, 5yr preventive maintenance",Atlas Copco,Vendor invoice / PO,MRO & Engineering,"Maintenance, Repair & Overhaul",Mechanical Maintenance,Scheduled Preventive Maintenance,"MRO & Engineering > Maintenance, Repair & Overhaul > Mechanical Maintenance > Scheduled Preventive Maintenance",MEDIUM,0.3033,0.0276,HYBRID_RERANKING,MRO & Engineering,"Maintenance, Repair & Overhaul",Mechanical Maintenance,Scheduled Preventive Maintenance,"MRO & Engineering > Maintenance, Repair & Overhaul > Mechanical Maintenance > Scheduled Preventive Maintenance",APPROVED,Domain validation: confirmed Scheduled Preventive Maintenance correctly matches spend description.,MRO & Engineering,"Maintenance, Repair & Overhaul",Mechanical Maintenance,Scheduled Preventive Maintenance,"MRO & Engineering > Maintenance, Repair & Overhaul > Mechanical Maintenance > Scheduled Preventive Maintenance"
28,"Office fit-out – 4th floor, 200 workstations, London HQ",Fit-out contractor,Vendor invoice / PO,Facilities & Property,Capital Works,Fit-Out & Refurbishment,Office Fit-Out,Facilities & Property > Capital Works > Fit-Out & Refurbishment > Office Fit-Out,HIGH,0.5798,0.0683,HYBRID_RERANKING,Facilities & Property,Capital Works,Fit-Out & Refurbishment,Office Fit-Out,Facilities & Property > Capital Works > Fit-Out & Refurbishment > Office Fit-Out,APPROVED,Domain validation: confirmed Office Fit-Out correctly matches spend description.,Facilities & Property,Capital Works,Fit-Out & Refurbishment,Office Fit-Out,Facilities & Property > Capital Works > Fit-Out & Refurbishment > Office Fit-Out
29,"Rentokil – pest control, quarterly, 28 hospital sites",Rentokil Initial,Vendor invoice / PO,Facilities & Property,Soft FM,Pest Control,Pest Control Services,Facilities & Property > Soft FM > Pest Control > Pest Control Services,HIGH,0.5123,0.2595,HYBRID_RERANKING,Facilities & Property,Soft FM,Pest Control,Pest Control Services,Facilities & Property > Soft FM > Pest Control > Pest Control Services,APPROVED,Domain validation: confirmed Pest Control Services correctly matches spend description.,Facilities & Property,Soft FM,Pest Control,Pest Control Services,Facilities & Property > Soft FM > Pest Control > Pest Control Services
30,"G4S – manned guarding, 24hr, 8 distribution centres",G4S Security,Vendor invoice / PO,Facilities & Property,Soft FM,Security,Manned Guarding,Facilities & Property > Soft FM > Security > Manned Guarding,HIGH,0.5659,0.2566,HYBRID_RERANKING,Facilities & Property,Soft FM,Security,Manned Guarding,Facilities & Property > Soft FM > Security > Manned Guarding,APPROVED,Domain validation: confirmed Manned Guarding correctly matches spend description.,Facilities & Property,Soft FM,Security,Manned Guarding,Facilities & Property > Soft FM > Security > Manned Guarding
31,"Kone – lift maintenance, bi-annual + 24hr call-out, 80 stores",Kone Elevators,Vendor invoice / PO,Facilities & Property,Hard FM,Lifts & Escalators,Lift Maintenance & Inspection,Facilities & Property > Hard FM > Lifts & Escalators > Lift Maintenance & Inspection,HIGH,0.3655,0.1291,HYBRID_RERANKING,Facilities & Property,Hard FM,Lifts & Escalators,Lift Maintenance & Inspection,Facilities & Property > Hard FM > Lifts & Escalators > Lift Maintenance & Inspection,APPROVED,Domain validation: confirmed Lift Maintenance & Inspection correctly matches spend description.,Facilities & Property,Hard FM,Lifts & Escalators,Lift Maintenance & Inspection,Facilities & Property > Hard FM > Lifts & Escalators > Lift Maintenance & Inspection
32,"Compass Group – employee restaurant, monthly contract",Compass Group,Vendor invoice / PO,Facilities & Property,Soft FM,Catering,Employee Restaurant & Catering,Facilities & Property > Soft FM > Catering > Employee Restaurant & Catering,HIGH,0.3618,0.1209,HYBRID_RERANKING,Facilities & Property,Soft FM,Catering,Employee Restaurant & Catering,Facilities & Property > Soft FM > Catering > Employee Restaurant & Catering,APPROVED,Domain validation: confirmed Employee Restaurant & Catering correctly matches spend description.,Facilities & Property,Soft FM,Catering,Employee Restaurant & Catering,Facilities & Property > Soft FM > Catering > Employee Restaurant & Catering
33,"Stericycle – sharps, cytotoxic and infectious waste disposal",Stericycle,Service contract / PO,Facilities & Property,Soft FM,Waste Management,Hazardous Waste Disposal,Facilities & Property > Soft FM > Waste Management > Hazardous Waste Disposal,LOW,0.3151,0.0769,HUMAN_REVIEW,Facilities & Property,Soft FM,Waste Management,Hazardous Waste Disposal,Facilities & Property > Soft FM > Waste Management > Hazardous Waste Disposal,APPROVED,Domain validation: confirmed Hazardous Waste Disposal correctly matches spend description.,Facilities & Property,Soft FM,Waste Management,Hazardous Waste Disposal,Facilities & Property > Soft FM > Waste Management > Hazardous Waste Disposal
34,"Ansen Industrial – factory floor deep clean, annual shutdown",Ansen Industrial Cleaning,Service contract / PO,Facilities & Property,Soft FM,Cleaning,Industrial & Specialist Cleaning,Facilities & Property > Soft FM > Cleaning > Industrial & Specialist Cleaning,HIGH,0.4198,0.0711,HYBRID_RERANKING,Facilities & Property,Soft FM,Cleaning,Industrial & Specialist Cleaning,Facilities & Property > Soft FM > Cleaning > Industrial & Specialist Cleaning,APPROVED,Domain validation: confirmed Industrial & Specialist Cleaning correctly matches spend description.,Facilities & Property,Soft FM,Cleaning,Industrial & Specialist Cleaning,Facilities & Property > Soft FM > Cleaning > Industrial & Specialist Cleaning
35,"Mitie – reception and front-of-house outsource, Head Office",Mitie Group,Service contract / PO,Marketing & Communications,PR & Communications,Internal Communications,Internal Comms Platforms,Marketing & Communications > PR & Communications > Internal Communications > Internal Comms Platforms,LOW,0.2272,0.0057,HUMAN_REVIEW,Facilities & Property,Soft FM,Cleaning,Commercial Cleaning,Facilities & Property > Soft FM > Cleaning > Commercial Cleaning,CORRECTED,"Mitie reception and front-of-house outsourced services is Facilities Soft FM, not internal comms platforms.",Facilities & Property,Soft FM,Cleaning,Commercial Cleaning,Facilities & Property > Soft FM > Cleaning > Commercial Cleaning
36,"Mecalux – narrow-aisle racking installation, new DC, 15,000 pallets",Mecalux / Dematic,Service contract / PO,Facilities & Property,Capital Works,Fit-Out & Refurbishment,Warehouse & DC Fit-Out,Facilities & Property > Capital Works > Fit-Out & Refurbishment > Warehouse & DC Fit-Out,LOW,0.2136,0.0115,HUMAN_REVIEW,Facilities & Property,Capital Works,Fit-Out & Refurbishment,Warehouse & DC Fit-Out,Facilities & Property > Capital Works > Fit-Out & Refurbishment > Warehouse & DC Fit-Out,APPROVED,Domain validation: confirmed Warehouse & DC Fit-Out correctly matches spend description.,Facilities & Property,Capital Works,Fit-Out & Refurbishment,Warehouse & DC Fit-Out,Facilities & Property > Capital Works > Fit-Out & Refurbishment > Warehouse & DC Fit-Out
37,"Bureau Veritas – EPC surveys, full estate, 40 sites",Bureau Veritas,Service contract / PO,Facilities & Property,Property & Real Estate,Advisory,Dilapidations & Surveys,Facilities & Property > Property & Real Estate > Advisory > Dilapidations & Surveys,HIGH,0.3876,0.1096,HYBRID_RERANKING,Facilities & Property,Property & Real Estate,Advisory,Dilapidations & Surveys,Facilities & Property > Property & Real Estate > Advisory > Dilapidations & Surveys,APPROVED,Domain validation: confirmed Dilapidations & Surveys correctly matches spend description.,Facilities & Property,Property & Real Estate,Advisory,Dilapidations & Surveys,Facilities & Property > Property & Real Estate > Advisory > Dilapidations & Surveys
38,"IWG Regus – flexible offices, 10 cities, monthly",IWG / Regus,Works order / Agreement,Facilities & Property,Property & Real Estate,Leasing,Flexible Workspace & Serviced Offices,Facilities & Property > Property & Real Estate > Leasing > Flexible Workspace & Serviced Offices,HIGH,0.3875,0.1075,HYBRID_RERANKING,Facilities & Property,Property & Real Estate,Leasing,Flexible Workspace & Serviced Offices,Facilities & Property > Property & Real Estate > Leasing > Flexible Workspace & Serviced Offices,APPROVED,Domain validation: confirmed Flexible Workspace & Serviced Offices correctly matches spend description.,Facilities & Property,Property & Real Estate,Leasing,Flexible Workspace & Serviced Offices,Facilities & Property > Property & Real Estate > Leasing > Flexible Workspace & Serviced Offices
39,Asbestos survey + management plan – 2 pre-disposal properties,Asbestos specialist,Works order / Agreement,Facilities & Property,Compliance & Environment,Statutory Compliance,Asbestos Surveys & Management,Facilities & Property > Compliance & Environment > Statutory Compliance > Asbestos Surveys & Management,HIGH,0.5417,0.2183,HYBRID_RERANKING,Facilities & Property,Compliance & Environment,Statutory Compliance,Asbestos Surveys & Management,Facilities & Property > Compliance & Environment > Statutory Compliance > Asbestos Surveys & Management,APPROVED,Domain validation: confirmed Asbestos Surveys & Management correctly matches spend description.,Facilities & Property,Compliance & Environment,Statutory Compliance,Asbestos Surveys & Management,Facilities & Property > Compliance & Environment > Statutory Compliance > Asbestos Surveys & Management
40,"Pod Point EV charger maintenance – 80 bays, retail car parks",Pod Point,Works order / Agreement,Utilities & Energy,Carbon & Environment,EV Infrastructure,EV Charging Point Installation,Utilities & Energy > Carbon & Environment > EV Infrastructure > EV Charging Point Installation,HIGH,0.3894,0.0699,HYBRID_RERANKING,Utilities & Energy,Carbon & Environment,EV Infrastructure,EV Charging Maintenance,Utilities & Energy > Carbon & Environment > EV Infrastructure > EV Charging Maintenance,CORRECTED,"Pod Point EV charger maintenance across 20 sites is EV Charging Maintenance, not installation.",Utilities & Energy,Carbon & Environment,EV Infrastructure,EV Charging Maintenance,Utilities & Energy > Carbon & Environment > EV Infrastructure > EV Charging Maintenance
41,"JLL – industrial property portfolio advisory, 8-site rationalisation",JLL,Works order / Agreement,Facilities & Property,Property & Real Estate,Advisory,Real Estate Advisory,Facilities & Property > Property & Real Estate > Advisory > Real Estate Advisory,MEDIUM,0.4028,0.0368,HYBRID_RERANKING,Facilities & Property,Property & Real Estate,Advisory,Real Estate Advisory,Facilities & Property > Property & Real Estate > Advisory > Real Estate Advisory,APPROVED,Domain validation: confirmed Real Estate Advisory correctly matches spend description.,Facilities & Property,Property & Real Estate,Advisory,Real Estate Advisory,Facilities & Property > Property & Real Estate > Advisory > Real Estate Advisory
42,"Clearwater Technology – legionella risk assessment + remediation, 60 stores",Clearwater Technology,Service contract / PO,Facilities & Property,Compliance & Environment,Statutory Compliance,Legionella Testing & Control,Facilities & Property > Compliance & Environment > Statutory Compliance > Legionella Testing & Control,HIGH,0.3816,0.1782,HYBRID_RERANKING,Facilities & Property,Compliance & Environment,Statutory Compliance,Legionella Testing & Control,Facilities & Property > Compliance & Environment > Statutory Compliance > Legionella Testing & Control,APPROVED,Domain validation: confirmed Legionella Testing & Control correctly matches spend description.,Facilities & Property,Compliance & Environment,Statutory Compliance,Legionella Testing & Control,Facilities & Property > Compliance & Environment > Statutory Compliance > Legionella Testing & Control
43,"Viking Fire Protection – fire suppression installation, new ward",Viking Fire Protection,Vendor invoice / PO,Facilities & Property,Hard FM,Fire Systems,Fire Suppression Systems,Facilities & Property > Hard FM > Fire Systems > Fire Suppression Systems,HIGH,0.4205,0.0812,HYBRID_RERANKING,Facilities & Property,Hard FM,Fire Systems,Fire Suppression Systems,Facilities & Property > Hard FM > Fire Systems > Fire Suppression Systems,APPROVED,Domain validation: confirmed Fire Suppression Systems correctly matches spend description.,Facilities & Property,Hard FM,Fire Systems,Fire Suppression Systems,Facilities & Property > Hard FM > Fire Systems > Fire Suppression Systems
44,"Securitas – CCTV and access control installation + monitoring, 30 stores",Securitas,Service contract / PO,Facilities & Property,Soft FM,Security,CCTV & Access Control,Facilities & Property > Soft FM > Security > CCTV & Access Control,HIGH,0.4879,0.2566,HYBRID_RERANKING,Facilities & Property,Soft FM,Security,CCTV & Access Control,Facilities & Property > Soft FM > Security > CCTV & Access Control,APPROVED,Domain validation: confirmed CCTV & Access Control correctly matches spend description.,Facilities & Property,Soft FM,Security,CCTV & Access Control,Facilities & Property > Soft FM > Security > CCTV & Access Control
45,Atlas Copco – compressed air network audit + upgrade works,Atlas Copco,Works order / Agreement,MRO & Engineering,Engineering Services,Specialist Engineering,Compressed Air & Pneumatics,MRO & Engineering > Engineering Services > Specialist Engineering > Compressed Air & Pneumatics,LOW,0.277,0.0376,HUMAN_REVIEW,MRO & Engineering,Engineering Services,Specialist Engineering,Compressed Air & Pneumatics,MRO & Engineering > Engineering Services > Specialist Engineering > Compressed Air & Pneumatics,APPROVED,Domain validation: confirmed Compressed Air & Pneumatics correctly matches spend description.,MRO & Engineering,Engineering Services,Specialist Engineering,Compressed Air & Pneumatics,MRO & Engineering > Engineering Services > Specialist Engineering > Compressed Air & Pneumatics
