L1,L2,L3,L4,full_path,boundary_note
IT & Technology,Cloud & SaaS,PaaS,Container & App Platforms,IT & Technology > Cloud & SaaS > PaaS > Container & App Platforms,
IT & Technology,Cloud & SaaS,SaaS,General SaaS Subscriptions,IT & Technology > Cloud & SaaS > SaaS > General SaaS Subscriptions,
IT & Technology,Telecom & Connectivity,Fixed Line,Landline & PBX Services,IT & Technology > Telecom & Connectivity > Fixed Line > Landline & PBX Services,
IT & Technology,Telecom & Connectivity,Mobile,Mobile Plans & SIM Contracts,IT & Technology > Telecom & Connectivity > Mobile > Mobile Plans & SIM Contracts,
IT & Technology,Telecom & Connectivity,Internet,Broadband & Leased Lines,IT & Technology > Telecom & Connectivity > Internet > Broadband & Leased Lines,
IT & Technology,Telecom & Connectivity,Internet,Content Delivery Networks,IT & Technology > Telecom & Connectivity > Internet > Content Delivery Networks,"CDN = connectivity infrastructure, not Cloud IaaS."
IT & Technology,Network & Infrastructure,Hardware,Servers & Storage Hardware,IT & Technology > Network & Infrastructure > Hardware > Servers & Storage Hardware,
IT & Technology,Network & Infrastructure,Hardware,Network Switches & Routers,IT & Technology > Network & Infrastructure > Hardware > Network Switches & Routers,
IT & Technology,Network & Infrastructure,Hardware,Firewall & Security Appliances,IT & Technology > Network & Infrastructure > Hardware > Firewall & Security Appliances,
IT & Technology,Network & Infrastructure,Data Centre,Co-location Services,IT & Technology > Network & Infrastructure > Data Centre > Co-location Services,
IT & Technology,IT Services,Managed Services,Outsourced IT Operations,IT & Technology > IT Services > Managed Services > Outsourced IT Operations,
IT & Technology,IT Services,Managed Services,Service Desk & Helpdesk,IT & Technology > IT Services > Managed Services > Service Desk & Helpdesk,
IT & Technology,IT Services,Consulting & Advisory,IT Strategy Consulting,IT & Technology > IT Services > Consulting & Advisory > IT Strategy Consulting,
IT & Technology,IT Services,Consulting & Advisory,Digital Transformation Advisory,IT & Technology > IT Services > Consulting & Advisory > Digital Transformation Advisory,
IT & Technology,IT Services,Contractors & Resourcing,IT Contractors,IT & Technology > IT Services > Contractors & Resourcing > IT Contractors,Off-payroll IT resource. May sit in HR or IT budget — classify in HR.
IT & Technology,IT Services,Training,IT Training & Certifications,IT & Technology > IT Services > Training > IT Training & Certifications,
Facilities & Property,Hard FM,Mechanical & Electrical,HVAC Maintenance,Facilities & Property > Hard FM > Mechanical & Electrical > HVAC Maintenance,"General mechanical plant PM. Covers compressed air, boilers, pumps."
Facilities & Property,Hard FM,Mechanical & Electrical,Electrical Systems Maintenance,Facilities & Property > Hard FM > Mechanical & Electrical > Electrical Systems Maintenance,
Facilities & Property,Hard FM,Mechanical & Electrical,Plumbing & Water Systems,Facilities & Property > Hard FM > Mechanical & Electrical > Plumbing & Water Systems,
Facilities & Property,Hard FM,Lifts & Escalators,Lift Maintenance & Inspection,Facilities & Property > Hard FM > Lifts & Escalators > Lift Maintenance & Inspection,
Facilities & Property,Hard FM,Fire Systems,Fire Alarm Maintenance,Facilities & Property > Hard FM > Fire Systems > Fire Alarm Maintenance,
Facilities & Property,Hard FM,Fire Systems,Fire Suppression Systems,Facilities & Property > Hard FM > Fire Systems > Fire Suppression Systems,
Facilities & Property,Hard FM,Building Fabric,Roofing & Structural Repairs,Facilities & Property > Hard FM > Building Fabric > Roofing & Structural Repairs,
Facilities & Property,Soft FM,Cleaning,Commercial Cleaning,Facilities & Property > Soft FM > Cleaning > Commercial Cleaning,
Facilities & Property,Soft FM,Cleaning,Industrial & Specialist Cleaning,Facilities & Property > Soft FM > Cleaning > Industrial & Specialist Cleaning,
Facilities & Property,Soft FM,Catering,Employee Restaurant & Catering,Facilities & Property > Soft FM > Catering > Employee Restaurant & Catering,
Facilities & Property,Soft FM,Security,Manned Guarding,Facilities & Property > Soft FM > Security > Manned Guarding,
Facilities & Property,Soft FM,Security,CCTV & Access Control,Facilities & Property > Soft FM > Security > CCTV & Access Control,
Facilities & Property,Soft FM,Pest Control,Pest Control Services,Facilities & Property > Soft FM > Pest Control > Pest Control Services,
Facilities & Property,Soft FM,Waste Management,General Waste Collection,Facilities & Property > Soft FM > Waste Management > General Waste Collection,
Facilities & Property,Soft FM,Waste Management,Hazardous Waste Disposal,Facilities & Property > Soft FM > Waste Management > Hazardous Waste Disposal,
Facilities & Property,Soft FM,Grounds Maintenance,Landscape & Grounds Services,Facilities & Property > Soft FM > Grounds Maintenance > Landscape & Grounds Services,
Facilities & Property,Property & Real Estate,Leasing,Office & Commercial Leasing,Facilities & Property > Property & Real Estate > Leasing > Office & Commercial Leasing,
Facilities & Property,Property & Real Estate,Leasing,Flexible Workspace & Serviced Offices,Facilities & Property > Property & Real Estate > Leasing > Flexible Workspace & Serviced Offices,WaaS/flex offices. Boundary: FM vs HR (employee benefit).
Facilities & Property,Property & Real Estate,Advisory,Real Estate Advisory,Facilities & Property > Property & Real Estate > Advisory > Real Estate Advisory,
Facilities & Property,Property & Real Estate,Advisory,Dilapidations & Surveys,Facilities & Property > Property & Real Estate > Advisory > Dilapidations & Surveys,
Facilities & Property,Capital Works,Fit-Out & Refurbishment,Office Fit-Out,Facilities & Property > Capital Works > Fit-Out & Refurbishment > Office Fit-Out,
Facilities & Property,Capital Works,Fit-Out & Refurbishment,Warehouse & DC Fit-Out,Facilities & Property > Capital Works > Fit-Out & Refurbishment > Warehouse & DC Fit-Out,
Facilities & Property,Capital Works,Fit-Out & Refurbishment,Retail Store Fit-Out,Facilities & Property > Capital Works > Fit-Out & Refurbishment > Retail Store Fit-Out,
Facilities & Property,Capital Works,New Build & Extensions,Construction Management,Facilities & Property > Capital Works > New Build & Extensions > Construction Management,
Facilities & Property,Capital Works,New Build & Extensions,Architectural & Engineering Design,Facilities & Property > Capital Works > New Build & Extensions > Architectural & Engineering Design,
Facilities & Property,Compliance & Environment,Statutory Compliance,Asbestos Surveys & Management,Facilities & Property > Compliance & Environment > Statutory Compliance > Asbestos Surveys & Management,
Facilities & Property,Compliance & Environment,Statutory Compliance,Legionella Testing & Control,Facilities & Property > Compliance & Environment > Statutory Compliance > Legionella Testing & Control,
Facilities & Property,Compliance & Environment,Statutory Compliance,Energy Performance Certificates,Facilities & Property > Compliance & Environment > Statutory Compliance > Energy Performance Certificates,
Facilities & Property,Compliance & Environment,Environmental,Environmental Monitoring,Facilities & Property > Compliance & Environment > Environmental > Environmental Monitoring,
HR & Workforce,Recruitment,Permanent Recruitment,Executive Search,HR & Workforce > Recruitment > Permanent Recruitment > Executive Search,
HR & Workforce,Recruitment,Permanent Recruitment,Contingency Recruitment,HR & Workforce > Recruitment > Permanent Recruitment > Contingency Recruitment,
HR & Workforce,Recruitment,Permanent Recruitment,Recruitment Advertising,HR & Workforce > Recruitment > Permanent Recruitment > Recruitment Advertising,
HR & Workforce,Recruitment,Recruitment Technology,Applicant Tracking Systems,HR & Workforce > Recruitment > Recruitment Technology > Applicant Tracking Systems,
HR & Workforce,Recruitment,Recruitment Technology,Job Board Subscriptions,HR & Workforce > Recruitment > Recruitment Technology > Job Board Subscriptions,
HR & Workforce,Temporary & Contract Labour,Industrial & Operational,Industrial Temporary Labour,HR & Workforce > Temporary & Contract Labour > Industrial & Operational > Industrial Temporary Labour,Operational temps. Not IR35 contractors (see Professional Contractors).
HR & Workforce,Temporary & Contract Labour,Industrial & Operational,Clerical & Admin Temps,HR & Workforce > Temporary & Contract Labour > Industrial & Operational > Clerical & Admin Temps,
HR & Workforce,Temporary & Contract Labour,Professional Contractors,IT Contractors,HR & Workforce > Temporary & Contract Labour > Professional Contractors > IT Contractors,Off-payroll IT resource. May sit in HR or IT budget — classify in HR.
HR & Workforce,Temporary & Contract Labour,Professional Contractors,Finance & Legal Contractors,HR & Workforce > Temporary & Contract Labour > Professional Contractors > Finance & Legal Contractors,
HR & Workforce,Temporary & Contract Labour,Interim Management,Interim Directors & Managers,HR & Workforce > Temporary & Contract Labour > Interim Management > Interim Directors & Managers,Interim mgmt sits in HR > Temporary & Contract Labour.
HR & Workforce,Learning & Development,Training Delivery,Classroom & Workshop Training,HR & Workforce > Learning & Development > Training Delivery > Classroom & Workshop Training,
HR & Workforce,Learning & Development,Training Delivery,E-Learning & Digital Learning,HR & Workforce > Learning & Development > Training Delivery > E-Learning & Digital Learning,
HR & Workforce,Learning & Development,Qualifications & Accreditations,Professional Qualifications,HR & Workforce > Learning & Development > Qualifications & Accreditations > Professional Qualifications,
HR & Workforce,Learning & Development,Qualifications & Accreditations,Leadership & Management Programmes,HR & Workforce > Learning & Development > Qualifications & Accreditations > Leadership & Management Programmes,
HR & Workforce,Learning & Development,Coaching & Mentoring,Executive Coaching,HR & Workforce > Learning & Development > Coaching & Mentoring > Executive Coaching,
HR & Workforce,Employee Benefits & Wellbeing,Benefits Administration,Benefits Platforms & Flexible Benefits,HR & Workforce > Employee Benefits & Wellbeing > Benefits Administration > Benefits Platforms & Flexible Benefits,
HR & Workforce,Employee Benefits & Wellbeing,Benefits Administration,Employee Assistance Programmes,HR & Workforce > Employee Benefits & Wellbeing > Benefits Administration > Employee Assistance Programmes,
HR & Workforce,Employee Benefits & Wellbeing,Occupational Health,Occupational Health Services,HR & Workforce > Employee Benefits & Wellbeing > Occupational Health > Occupational Health Services,
HR & Workforce,Employee Benefits & Wellbeing,Occupational Health,Pre-Employment Medicals,HR & Workforce > Employee Benefits & Wellbeing > Occupational Health > Pre-Employment Medicals,
HR & Workforce,Employee Benefits & Wellbeing,Wellbeing,Mental Health & Wellbeing Services,HR & Workforce > Employee Benefits & Wellbeing > Wellbeing > Mental Health & Wellbeing Services,
HR & Workforce,HR Operations,Payroll,Payroll Outsourcing,HR & Workforce > HR Operations > Payroll > Payroll Outsourcing,
HR & Workforce,HR Operations,Payroll,Payroll Software,HR & Workforce > HR Operations > Payroll > Payroll Software,
HR & Workforce,HR Operations,HR Compliance,Background Screening & DBS,HR & Workforce > HR Operations > HR Compliance > Background Screening & DBS,
HR & Workforce,HR Operations,HR Compliance,Employment Law Advisory,HR & Workforce > HR Operations > HR Compliance > Employment Law Advisory,"Covers outplacement, HR advisory, org design in standard taxonomy."
HR & Workforce,HR Operations,HR Technology,HRIS & Workforce Management,HR & Workforce > HR Operations > HR Technology > HRIS & Workforce Management,
HR & Workforce,HR Operations,HR Technology,Employee Engagement Platforms,HR & Workforce > HR Operations > HR Technology > Employee Engagement Platforms,
HR & Workforce,Workwear & PPE,Workwear,Uniforms & Branded Clothing,HR & Workforce > Workwear & PPE > Workwear > Uniforms & Branded Clothing,
HR & Workforce,Workwear & PPE,PPE,"Safety PPE (Helmets, Gloves, Boots)","HR & Workforce > Workwear & PPE > PPE > Safety PPE (Helmets, Gloves, Boots)",
Professional Services,Management Consulting,Strategy,Strategy Consulting,Professional Services > Management Consulting > Strategy > Strategy Consulting,Advisory only. Delivery bundled = Change & Transformation or Digital Transformation.
Professional Services,Management Consulting,Strategy,Corporate Development Advisory,Professional Services > Management Consulting > Strategy > Corporate Development Advisory,
Professional Services,Management Consulting,Operations,Operations & Process Consulting,Professional Services > Management Consulting > Operations > Operations & Process Consulting,
Professional Services,Management Consulting,Operations,Lean & Continuous Improvement,Professional Services > Management Consulting > Operations > Lean & Continuous Improvement,Operational improvement including procurement consulting.
Professional Services,Management Consulting,Change Management,Change & Transformation Consulting,Professional Services > Management Consulting > Change Management > Change & Transformation Consulting,
Professional Services,Management Consulting,Change Management,Programme & Project Management,Professional Services > Management Consulting > Change Management > Programme & Project Management,
Professional Services,Management Consulting,Sustainability,Sustainability & ESG Advisory,Professional Services > Management Consulting > Sustainability > Sustainability & ESG Advisory,
Professional Services,Management Consulting,Sustainability,Carbon & Net Zero Advisory,Professional Services > Management Consulting > Sustainability > Carbon & Net Zero Advisory,
Professional Services,Legal Services,Corporate & Commercial,M&A Legal Advisory,Professional Services > Legal Services > Corporate & Commercial > M&A Legal Advisory,
Professional Services,Legal Services,Corporate & Commercial,Contract & Commercial Law,Professional Services > Legal Services > Corporate & Commercial > Contract & Commercial Law,
Professional Services,Legal Services,Employment Law,Employment Litigation,Professional Services > Legal Services > Employment Law > Employment Litigation,
Professional Services,Legal Services,Employment Law,Employment Law Advisory,Professional Services > Legal Services > Employment Law > Employment Law Advisory,"Covers outplacement, HR advisory, org design in standard taxonomy."
Professional Services,Legal Services,Intellectual Property,Patent Registration & Management,Professional Services > Legal Services > Intellectual Property > Patent Registration & Management,
Professional Services,Legal Services,Intellectual Property,Trademark & Brand Protection,Professional Services > Legal Services > Intellectual Property > Trademark & Brand Protection,
Professional Services,Legal Services,Real Estate Law,Property Transactions,Professional Services > Legal Services > Real Estate Law > Property Transactions,
Professional Services,Legal Services,Regulatory & Compliance,Data Protection & GDPR Advisory,Professional Services > Legal Services > Regulatory & Compliance > Data Protection & GDPR Advisory,
Professional Services,Legal Services,Regulatory & Compliance,Regulatory Compliance Advisory,Professional Services > Legal Services > Regulatory & Compliance > Regulatory Compliance Advisory,
Professional Services,Finance & Accounting,Audit,External Audit,Professional Services > Finance & Accounting > Audit > External Audit,
Professional Services,Finance & Accounting,Audit,Internal Audit,Professional Services > Finance & Accounting > Audit > Internal Audit,
Professional Services,Finance & Accounting,Tax Advisory,Direct Tax Advisory,Professional Services > Finance & Accounting > Tax Advisory > Direct Tax Advisory,
Professional Services,Finance & Accounting,Tax Advisory,Transfer Pricing,Professional Services > Finance & Accounting > Tax Advisory > Transfer Pricing,Specialist tax. Separate from general Direct Tax Advisory.
Professional Services,Finance & Accounting,Tax Advisory,Indirect Tax & VAT Advisory,Professional Services > Finance & Accounting > Tax Advisory > Indirect Tax & VAT Advisory,
Professional Services,Finance & Accounting,Corporate Finance,M&A Financial Due Diligence,Professional Services > Finance & Accounting > Corporate Finance > M&A Financial Due Diligence,Financial DD. Legal DD sits in Legal Services.
Professional Services,Finance & Accounting,Corporate Finance,Valuations & Fairness Opinions,Professional Services > Finance & Accounting > Corporate Finance > Valuations & Fairness Opinions,
Professional Services,Finance & Accounting,Actuarial,Actuarial Valuations,Professional Services > Finance & Accounting > Actuarial > Actuarial Valuations,
Professional Services,Finance & Accounting,Company Secretarial,Company Secretarial Services,Professional Services > Finance & Accounting > Company Secretarial > Company Secretarial Services,
Professional Services,Research & Analytics,Market Research,Quantitative Research,Professional Services > Research & Analytics > Market Research > Quantitative Research,
Professional Services,Research & Analytics,Market Research,Qualitative Research & Focus Groups,Professional Services > Research & Analytics > Market Research > Qualitative Research & Focus Groups,
Professional Services,Research & Analytics,Data & Analytics Advisory,Data Strategy Advisory,Professional Services > Research & Analytics > Data & Analytics Advisory > Data Strategy Advisory,
Professional Services,Research & Analytics,Data & Analytics Advisory,Benchmarking Studies,Professional Services > Research & Analytics > Data & Analytics Advisory > Benchmarking Studies,
Marketing & Communications,Advertising,Broadcast Media,TV Advertising,Marketing & Communications > Advertising > Broadcast Media > TV Advertising,
Marketing & Communications,Advertising,Broadcast Media,Radio Advertising,Marketing & Communications > Advertising > Broadcast Media > Radio Advertising,
Marketing & Communications,Advertising,Digital Media,Paid Search & PPC,Marketing & Communications > Advertising > Digital Media > Paid Search & PPC,
Marketing & Communications,Advertising,Digital Media,Programmatic Display,Marketing & Communications > Advertising > Digital Media > Programmatic Display,
Marketing & Communications,Advertising,Digital Media,Social Media Advertising,Marketing & Communications > Advertising > Digital Media > Social Media Advertising,
Marketing & Communications,Advertising,Out-of-Home,Billboard & Poster Advertising,Marketing & Communications > Advertising > Out-of-Home > Billboard & Poster Advertising,
Marketing & Communications,Advertising,Out-of-Home,Digital OOH,Marketing & Communications > Advertising > Out-of-Home > Digital OOH,
Marketing & Communications,Advertising,Print Media,Press & Magazine Advertising,Marketing & Communications > Advertising > Print Media > Press & Magazine Advertising,
Marketing & Communications,Digital Marketing,Content & SEO,Content Marketing & Copywriting,Marketing & Communications > Digital Marketing > Content & SEO > Content Marketing & Copywriting,
Marketing & Communications,Digital Marketing,Content & SEO,SEO Services,Marketing & Communications > Digital Marketing > Content & SEO > SEO Services,
Marketing & Communications,Digital Marketing,Email & CRM,Email Marketing Platforms,Marketing & Communications > Digital Marketing > Email & CRM > Email Marketing Platforms,
Marketing & Communications,Digital Marketing,Email & CRM,CRM & Marketing Automation,Marketing & Communications > Digital Marketing > Email & CRM > CRM & Marketing Automation,
Marketing & Communications,Digital Marketing,Influencer & Social,Influencer Marketing,Marketing & Communications > Digital Marketing > Influencer & Social > Influencer Marketing,
Marketing & Communications,Digital Marketing,Influencer & Social,Social Media Management,Marketing & Communications > Digital Marketing > Influencer & Social > Social Media Management,
Marketing & Communications,Marketing Technology,MarTech Platforms,Marketing Cloud Platforms,Marketing & Communications > Marketing Technology > MarTech Platforms > Marketing Cloud Platforms,
Marketing & Communications,Marketing Technology,MarTech Platforms,Loyalty & Rewards Technology,Marketing & Communications > Marketing Technology > MarTech Platforms > Loyalty & Rewards Technology,
Marketing & Communications,Marketing Technology,MarTech Platforms,Analytics & Attribution Tools,Marketing & Communications > Marketing Technology > MarTech Platforms > Analytics & Attribution Tools,
Marketing & Communications,Creative & Design,Brand & Identity,Brand Strategy & Design,Marketing & Communications > Creative & Design > Brand & Identity > Brand Strategy & Design,
Marketing & Communications,Creative & Design,Brand & Identity,Packaging Design,Marketing & Communications > Creative & Design > Brand & Identity > Packaging Design,
Marketing & Communications,Creative & Design,Production,Photography & Video Production,Marketing & Communications > Creative & Design > Production > Photography & Video Production,
Marketing & Communications,Creative & Design,Production,Print & Collateral Production,Marketing & Communications > Creative & Design > Production > Print & Collateral Production,
Marketing & Communications,PR & Communications,Public Relations,PR Agency Retainers,Marketing & Communications > PR & Communications > Public Relations > PR Agency Retainers,
Marketing & Communications,PR & Communications,Public Relations,Crisis Communications,Marketing & Communications > PR & Communications > Public Relations > Crisis Communications,
Marketing & Communications,PR & Communications,Internal Communications,Internal Comms Platforms,Marketing & Communications > PR & Communications > Internal Communications > Internal Comms Platforms,
Marketing & Communications,Events & Sponsorship,Events,Conference & Event Management,Marketing & Communications > Events & Sponsorship > Events > Conference & Event Management,
Marketing & Communications,Events & Sponsorship,Events,Exhibitions & Trade Shows,Marketing & Communications > Events & Sponsorship > Events > Exhibitions & Trade Shows,
Marketing & Communications,Events & Sponsorship,Sponsorship,Sports & Entertainment Sponsorship,Marketing & Communications > Events & Sponsorship > Sponsorship > Sports & Entertainment Sponsorship,
Marketing & Communications,Market Intelligence,Research & Insight,Customer Insight Research,Marketing & Communications > Market Intelligence > Research & Insight > Customer Insight Research,
Marketing & Communications,Market Intelligence,Research & Insight,Competitor Intelligence,Marketing & Communications > Market Intelligence > Research & Insight > Competitor Intelligence,
Finance & Insurance,Insurance,Property & Casualty,Commercial Property Insurance,Finance & Insurance > Insurance > Property & Casualty > Commercial Property Insurance,
Finance & Insurance,Insurance,Property & Casualty,Employers Liability Insurance,Finance & Insurance > Insurance > Property & Casualty > Employers Liability Insurance,
Finance & Insurance,Insurance,Property & Casualty,Public Liability Insurance,Finance & Insurance > Insurance > Property & Casualty > Public Liability Insurance,
Finance & Insurance,Insurance,Financial Lines,Directors & Officers Insurance,Finance & Insurance > Insurance > Financial Lines > Directors & Officers Insurance,
Finance & Insurance,Insurance,Financial Lines,Professional Indemnity Insurance,Finance & Insurance > Insurance > Financial Lines > Professional Indemnity Insurance,
Finance & Insurance,Insurance,Financial Lines,Credit & Trade Insurance,Finance & Insurance > Insurance > Financial Lines > Credit & Trade Insurance,
Finance & Insurance,Insurance,Specialist Insurance,Cyber Insurance,Finance & Insurance > Insurance > Specialist Insurance > Cyber Insurance,
Finance & Insurance,Insurance,Specialist Insurance,Marine & Cargo Insurance,Finance & Insurance > Insurance > Specialist Insurance > Marine & Cargo Insurance,
Finance & Insurance,Banking & Treasury,Banking Services,Banking Fees & Charges,Finance & Insurance > Banking & Treasury > Banking Services > Banking Fees & Charges,
Finance & Insurance,Banking & Treasury,Banking Services,Trade Finance & Letters of Credit,Finance & Insurance > Banking & Treasury > Banking Services > Trade Finance & Letters of Credit,
Finance & Insurance,Banking & Treasury,Treasury,FX Hedging & Forward Contracts,Finance & Insurance > Banking & Treasury > Treasury > FX Hedging & Forward Contracts,Treasury cost (premium/fee). Not the notional FX instrument itself.
Finance & Insurance,Banking & Treasury,Treasury,Cash Management Services,Finance & Insurance > Banking & Treasury > Treasury > Cash Management Services,
Finance & Insurance,Taxes & Levies,Property Tax,Business Rates,Finance & Insurance > Taxes & Levies > Property Tax > Business Rates,Statutory property tax. NOT Facilities. Classify in Finance > Taxes & Levies.
Finance & Insurance,Taxes & Levies,Property Tax,Stamp Duty Land Tax,Finance & Insurance > Taxes & Levies > Property Tax > Stamp Duty Land Tax,
Finance & Insurance,Taxes & Levies,Environmental Levies,Climate Change Levy,Finance & Insurance > Taxes & Levies > Environmental Levies > Climate Change Levy,
Finance & Insurance,Taxes & Levies,Environmental Levies,Landfill Tax,Finance & Insurance > Taxes & Levies > Environmental Levies > Landfill Tax,
Finance & Insurance,Compliance & Regulatory,Regulatory Fees,FCA / Regulator Annual Fees,Finance & Insurance > Compliance & Regulatory > Regulatory Fees > FCA / Regulator Annual Fees,
Finance & Insurance,Compliance & Regulatory,Regulatory Fees,Trade Association Membership,Finance & Insurance > Compliance & Regulatory > Regulatory Fees > Trade Association Membership,
Finance & Insurance,Compliance & Regulatory,Compliance Technology,RegTech & Compliance Platforms,Finance & Insurance > Compliance & Regulatory > Compliance Technology > RegTech & Compliance Platforms,
Finance & Insurance,Compliance & Regulatory,Compliance Technology,AML & KYC Systems,Finance & Insurance > Compliance & Regulatory > Compliance Technology > AML & KYC Systems,RegTech. Boundary: Finance (compliance) vs IT (SaaS).
Logistics & Supply Chain,Freight & Transport,Road Freight,Domestic Road Freight,Logistics & Supply Chain > Freight & Transport > Road Freight > Domestic Road Freight,
Logistics & Supply Chain,Freight & Transport,Road Freight,International Road Freight,Logistics & Supply Chain > Freight & Transport > Road Freight > International Road Freight,
Logistics & Supply Chain,Freight & Transport,Air Freight,Air Freight Services,Logistics & Supply Chain > Freight & Transport > Air Freight > Air Freight Services,
Logistics & Supply Chain,Freight & Transport,Sea Freight,Container Shipping,Logistics & Supply Chain > Freight & Transport > Sea Freight > Container Shipping,
Logistics & Supply Chain,Freight & Transport,Sea Freight,Freight Forwarding,Logistics & Supply Chain > Freight & Transport > Sea Freight > Freight Forwarding,
Logistics & Supply Chain,Courier & Parcel,Express Courier,Domestic Parcel Delivery,Logistics & Supply Chain > Courier & Parcel > Express Courier > Domestic Parcel Delivery,
Logistics & Supply Chain,Courier & Parcel,Express Courier,International Express Courier,Logistics & Supply Chain > Courier & Parcel > Express Courier > International Express Courier,
Logistics & Supply Chain,Courier & Parcel,Last Mile,Last Mile & Home Delivery,Logistics & Supply Chain > Courier & Parcel > Last Mile > Last Mile & Home Delivery,
Logistics & Supply Chain,Courier & Parcel,Returns,Returns Processing & Reverse Logistics,Logistics & Supply Chain > Courier & Parcel > Returns > Returns Processing & Reverse Logistics,
Logistics & Supply Chain,Warehousing & Storage,Third-Party Warehousing,Ambient Warehousing,Logistics & Supply Chain > Warehousing & Storage > Third-Party Warehousing > Ambient Warehousing,
Logistics & Supply Chain,Warehousing & Storage,Third-Party Warehousing,Temperature-Controlled Warehousing,Logistics & Supply Chain > Warehousing & Storage > Third-Party Warehousing > Temperature-Controlled Warehousing,
Logistics & Supply Chain,Warehousing & Storage,Third-Party Warehousing,Bonded Warehousing,Logistics & Supply Chain > Warehousing & Storage > Third-Party Warehousing > Bonded Warehousing,
Logistics & Supply Chain,Warehousing & Storage,Pallet & Unit Management,Pallet Pooling Services,Logistics & Supply Chain > Warehousing & Storage > Pallet & Unit Management > Pallet Pooling Services,Pallet rental/pooling (CHEP). Distinct from pallet purchase.
Logistics & Supply Chain,Fleet Management,Fleet Operations,Fleet Fuel,Logistics & Supply Chain > Fleet Management > Fleet Operations > Fleet Fuel,Fleet diesel/AdBlue. Can sit in Utilities if central energy team own.
Logistics & Supply Chain,Fleet Management,Fleet Operations,Fleet Maintenance & Servicing,Logistics & Supply Chain > Fleet Management > Fleet Operations > Fleet Maintenance & Servicing,
Logistics & Supply Chain,Fleet Management,Fleet Technology,Telematics & Route Planning,Logistics & Supply Chain > Fleet Management > Fleet Technology > Telematics & Route Planning,
Logistics & Supply Chain,Fleet Management,Fleet Technology,Fleet Management Software,Logistics & Supply Chain > Fleet Management > Fleet Technology > Fleet Management Software,
Logistics & Supply Chain,Customs & Trade,Customs Brokerage,Import & Export Brokerage,Logistics & Supply Chain > Customs & Trade > Customs Brokerage > Import & Export Brokerage,
Logistics & Supply Chain,Customs & Trade,Customs Brokerage,Duty Deferment & Guarantees,Logistics & Supply Chain > Customs & Trade > Customs Brokerage > Duty Deferment & Guarantees,
Logistics & Supply Chain,Customs & Trade,Trade Compliance,Trade Documentation Services,Logistics & Supply Chain > Customs & Trade > Trade Compliance > Trade Documentation Services,
